pair_class,calibration_controller,evaluation_controller,channel,point_far,ci_low,ci_high,bootstrap_repetitions
WORST,C04,C01,r_y,0.02583333333333333,0.022500000000000003,0.030835937500000004,600
WORST,C04,C01,r_u,0.14072916666666666,0.13342187500000002,0.14708333333333332,600
WORST,C04,C01,joint,0.042395833333333334,0.03343229166666667,0.0803697916666666,600
WORST,C04,C02,r_y,0.021988636363636363,0.01784090909090909,0.02647869318181818,600
WORST,C04,C02,r_u,0.13056818181818183,0.12761079545454546,0.17154119318181818,600
WORST,C04,C02,joint,0.03306818181818182,0.026129261363636365,0.12747869318181818,600
MODERATE,C03,C01,r_y,0.016979166666666667,0.015101562500000002,0.024377604166666667,600
MODERATE,C03,C01,r_u,0.0221875,0.018953125000000005,0.033645833333333326,600
MODERATE,C03,C01,joint,0.01635416666666667,0.014059895833333336,0.023541666666666666,600
NEAR_STABLE,C02,C03,r_y,0.005892857142857144,0.0046406250000000015,0.006966517857142857,600
NEAR_STABLE,C02,C03,r_u,0.0017857142857142859,0.0012499999999999998,0.0024999999999999996,600
NEAR_STABLE,C02,C03,joint,0.012946428571428576,0.007589285714285717,0.024555803571428572,600
NEAR_STABLE,C04,C05,r_y,0.01,0.007000000000000001,0.012750000000000001,600
NEAR_STABLE,C04,C05,r_u,0.00475,0.003,0.0072499999999999995,600
NEAR_STABLE,C04,C05,joint,0.01,0.007000000000000001,0.012256249999999995,600
