calibration_controller_count,calibration_controllers,evaluation_controller,channel,evaluation_cycle_count,pooling_method,calibration_cycle_count,selection_repetitions,unseen_controller_far
1,C01,C02,r_y,22,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.005000000000000001
1,C01,C02,r_y,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.005000000000000001
1,C01,C02,r_u,22,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.006988636363636366
1,C01,C02,r_u,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0065340909090909095
1,C01,C02,joint,22,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.005681818181818183
1,C01,C02,joint,22,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0056250000000000015
1,C01,C03,r_y,14,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.002142857142857143
1,C01,C03,r_y,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.002142857142857143
1,C01,C03,r_u,14,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.00035714285714285714
1,C01,C03,r_u,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00026785714285714287
1,C01,C03,joint,14,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0018750000000000001
1,C01,C03,joint,14,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0018750000000000001
1,C01,C04,r_y,12,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0009375
1,C01,C04,r_y,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0009375
1,C01,C04,r_u,12,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0
1,C01,C04,r_u,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C01,C04,joint,12,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0014583333333333334
1,C01,C04,joint,12,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00140625
1,C01,C05,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.00075
1,C01,C05,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00075
1,C01,C05,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0
1,C01,C05,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C01,C05,joint,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.00075
1,C01,C05,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00075
1,C01,C06,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.00075
1,C01,C06,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00075
1,C01,C06,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0
1,C01,C06,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C01,C06,joint,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.00025
1,C01,C06,joint,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00025
1,C01,C07,r_y,6,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.00020833333333333335
1,C01,C07,r_y,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.00020833333333333335
1,C01,C07,r_u,6,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0
1,C01,C07,r_u,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C01,C07,joint,6,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0008333333333333334
1,C01,C07,joint,6,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0008333333333333334
1,C01,C08,r_y,4,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.003125
1,C01,C08,r_y,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.003125
1,C01,C08,r_u,4,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0003125
1,C01,C08,r_u,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0003125
1,C01,C08,joint,4,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0034375
1,C01,C08,joint,4,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.003125
1,C01,C09,r_y,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0
1,C01,C09,r_y,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C01,C09,r_u,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.0
1,C01,C09,r_u,5,EQUAL_CONTROLLER_FOUR_CYCLES,4,40,0.0
1,C01,C09,joint,5,DURATION_WEIGHTED_ALL_CYCLES,12,1,0.00075
