nominal_target_far,source_controller,evaluation_controller,channel,evaluation_samples,exceedance_count
0.005,C01,C02,r_y,17600,51
0.005,C01,C02,r_u,17600,47
0.005,C01,C02,joint,17600,55
0.005,C01,C03,r_y,11200,7
0.005,C01,C03,r_u,11200,0
0.005,C01,C03,joint,11200,9
0.005,C01,C04,r_y,9600,0
0.005,C01,C04,r_u,9600,0
0.005,C01,C04,joint,9600,3
0.005,C01,C05,r_y,4000,0
0.005,C01,C05,r_u,4000,0
0.005,C01,C05,joint,4000,1
0.005,C01,C06,r_y,4000,0
0.005,C01,C06,r_u,4000,0
0.005,C01,C06,joint,4000,0
0.005,C01,C07,r_y,4800,0
0.005,C01,C07,r_u,4800,0
0.005,C01,C07,joint,4800,0
0.005,C01,C08,r_y,3200,3
0.005,C01,C08,r_u,3200,0
0.005,C01,C08,joint,3200,6
0.005,C01,C09,r_y,4000,0
0.005,C01,C09,r_u,4000,0
0.005,C01,C09,joint,4000,0
0.005,C02,C01,r_y,9600,79
0.005,C02,C01,r_u,9600,69
0.005,C02,C01,joint,9600,69
0.005,C02,C03,r_y,11200,24
0.005,C02,C03,r_u,11200,1
0.005,C02,C03,joint,11200,17
0.005,C02,C04,r_y,9600,6
0.005,C02,C04,r_u,9600,0
0.005,C02,C04,joint,9600,8
0.005,C02,C05,r_y,4000,3
0.005,C02,C05,r_u,4000,0
0.005,C02,C05,joint,4000,3
0.005,C02,C06,r_y,4000,3
0.005,C02,C06,r_u,4000,0
0.005,C02,C06,joint,4000,0
0.005,C02,C07,r_y,4800,1
0.005,C02,C07,r_u,4800,0
0.005,C02,C07,joint,4800,2
0.005,C02,C08,r_y,3200,10
0.005,C02,C08,r_u,3200,1
0.005,C02,C08,joint,3200,8
0.005,C02,C09,r_y,4000,0
0.005,C02,C09,r_u,4000,0
0.005,C02,C09,joint,4000,1
0.005,C03,C01,r_y,9600,147
0.005,C03,C01,r_u,9600,198
0.005,C03,C01,joint,9600,142
0.005,C03,C02,r_y,17600,158
0.005,C03,C02,r_u,17600,258
0.005,C03,C02,joint,17600,132
0.005,C03,C04,r_y,9600,39
0.005,C03,C04,r_u,9600,0
0.005,C03,C04,joint,9600,39
0.005,C03,C05,r_y,4000,10
0.005,C03,C05,r_u,4000,0
0.005,C03,C05,joint,4000,19
0.005,C03,C06,r_y,4000,16
0.005,C03,C06,r_u,4000,2
0.005,C03,C06,joint,4000,8
0.005,C03,C07,r_y,4800,8
0.005,C03,C07,r_u,4800,0
0.005,C03,C07,joint,4800,21
0.005,C03,C08,r_y,3200,25
0.005,C03,C08,r_u,3200,16
0.005,C03,C08,joint,3200,29
0.005,C03,C09,r_y,4000,6
0.005,C03,C09,r_u,4000,0
0.005,C03,C09,joint,4000,13
0.005,C04,C01,r_y,9600,162
0.005,C04,C01,r_u,9600,1161
0.005,C04,C01,joint,9600,222
0.005,C04,C02,r_y,17600,201
0.005,C04,C02,r_u,17600,2220
0.005,C04,C02,joint,17600,244
0.005,C04,C03,r_y,11200,82
0.005,C04,C03,r_u,11200,268
0.005,C04,C03,joint,11200,153
0.005,C04,C05,r_y,4000,13
0.005,C04,C05,r_u,4000,7
0.005,C04,C05,joint,4000,13
0.005,C04,C06,r_y,4000,17
0.005,C04,C06,r_u,4000,52
0.005,C04,C06,joint,4000,17
0.005,C04,C07,r_y,4800,11
0.005,C04,C07,r_u,4800,0
0.005,C04,C07,joint,4800,15
0.005,C04,C08,r_y,3200,30
0.005,C04,C08,r_u,3200,89
0.005,C04,C08,joint,3200,50
0.005,C04,C09,r_y,4000,9
0.005,C04,C09,r_u,4000,0
0.005,C04,C09,joint,4000,13
0.01,C01,C02,r_y,17600,88
0.01,C01,C02,r_u,17600,123
0.01,C01,C02,joint,17600,100
0.01,C01,C03,r_y,11200,24
0.01,C01,C03,r_u,11200,4
0.01,C01,C03,joint,11200,21
0.01,C01,C04,r_y,9600,9
0.01,C01,C04,r_u,9600,0
0.01,C01,C04,joint,9600,14
0.01,C01,C05,r_y,4000,3
0.01,C01,C05,r_u,4000,0
0.01,C01,C05,joint,4000,3
0.01,C01,C06,r_y,4000,3
0.01,C01,C06,r_u,4000,0
