method,evaluation_controller,calibration_controller,channel,evaluation_samples,exceedance_count
POOLED_GLOBAL,C01,,r_y,9600,173
POOLED_GLOBAL,C01,,r_u,9600,225
POOLED_GLOBAL,C01,,joint,9600,168
BALANCED_GLOBAL,C01,,r_y,9600,217
BALANCED_GLOBAL,C01,,r_u,9600,334
BALANCED_GLOBAL,C01,,joint,9600,190
LOCO_POOLED,C01,,r_y,9600,178
LOCO_POOLED,C01,,r_u,9600,261
LOCO_POOLED,C01,,joint,9600,179
LOCO_BALANCED,C01,,r_y,9600,229
LOCO_BALANCED,C01,,r_u,9600,369
LOCO_BALANCED,C01,,joint,9600,215
POOLED_GLOBAL,C02,,r_y,17600,207
POOLED_GLOBAL,C02,,r_u,17600,302
POOLED_GLOBAL,C02,,joint,17600,178
BALANCED_GLOBAL,C02,,r_y,17600,278
BALANCED_GLOBAL,C02,,r_u,17600,439
BALANCED_GLOBAL,C02,,joint,17600,237
LOCO_POOLED,C02,,r_y,17600,209
LOCO_POOLED,C02,,r_u,17600,382
LOCO_POOLED,C02,,joint,17600,189
LOCO_BALANCED,C02,,r_y,17600,291
LOCO_BALANCED,C02,,r_u,17600,511
LOCO_BALANCED,C02,,joint,17600,248
POOLED_GLOBAL,C03,,r_y,11200,160
POOLED_GLOBAL,C03,,r_u,11200,124
POOLED_GLOBAL,C03,,joint,11200,140
BALANCED_GLOBAL,C03,,r_y,11200,218
BALANCED_GLOBAL,C03,,r_u,11200,178
BALANCED_GLOBAL,C03,,joint,11200,174
LOCO_POOLED,C03,,r_y,11200,192
LOCO_POOLED,C03,,r_u,11200,128
LOCO_POOLED,C03,,joint,11200,154
LOCO_BALANCED,C03,,r_y,11200,218
LOCO_BALANCED,C03,,r_u,11200,179
LOCO_BALANCED,C03,,joint,11200,180
POOLED_GLOBAL,C04,,r_y,9600,50
POOLED_GLOBAL,C04,,r_u,9600,0
POOLED_GLOBAL,C04,,joint,9600,58
BALANCED_GLOBAL,C04,,r_y,9600,72
BALANCED_GLOBAL,C04,,r_u,9600,10
BALANCED_GLOBAL,C04,,joint,9600,64
LOCO_POOLED,C04,,r_y,9600,50
LOCO_POOLED,C04,,r_u,9600,0
LOCO_POOLED,C04,,joint,9600,55
LOCO_BALANCED,C04,,r_y,9600,68
LOCO_BALANCED,C04,,r_u,9600,8
LOCO_BALANCED,C04,,joint,9600,64
POOLED_GLOBAL,C05,,r_y,4000,15
POOLED_GLOBAL,C05,,r_u,4000,0
