calibration_controller,evaluation_controller,channel,validation_type,evaluation_samples,exceedance_count
C01,C01,r_y,LEAVE_ONE_RUN_OUT_INDEPENDENT,9600,115
C01,C01,r_u,LEAVE_ONE_RUN_OUT_INDEPENDENT,9600,122
C01,C01,joint,LEAVE_ONE_RUN_OUT_INDEPENDENT,9600,121
C01,C02,r_y,CROSS_CONTROLLER,17600,88
C01,C02,r_u,CROSS_CONTROLLER,17600,123
C01,C02,joint,CROSS_CONTROLLER,17600,100
C01,C03,r_y,CROSS_CONTROLLER,11200,24
C01,C03,r_u,CROSS_CONTROLLER,11200,4
C01,C03,joint,CROSS_CONTROLLER,11200,21
C01,C04,r_y,CROSS_CONTROLLER,9600,9
C01,C04,r_u,CROSS_CONTROLLER,9600,0
C01,C04,joint,CROSS_CONTROLLER,9600,14
C01,C05,r_y,CROSS_CONTROLLER,4000,3
C01,C05,r_u,CROSS_CONTROLLER,4000,0
C01,C05,joint,CROSS_CONTROLLER,4000,3
C01,C06,r_y,CROSS_CONTROLLER,4000,3
C01,C06,r_u,CROSS_CONTROLLER,4000,0
C01,C06,joint,CROSS_CONTROLLER,4000,1
C01,C07,r_y,CROSS_CONTROLLER,4800,1
C01,C07,r_u,CROSS_CONTROLLER,4800,0
C01,C07,joint,CROSS_CONTROLLER,4800,4
C01,C08,r_y,CROSS_CONTROLLER,3200,10
C01,C08,r_u,CROSS_CONTROLLER,3200,1
C01,C08,joint,CROSS_CONTROLLER,3200,11
C01,C09,r_y,CROSS_CONTROLLER,4000,0
C01,C09,r_u,CROSS_CONTROLLER,4000,0
C01,C09,joint,CROSS_CONTROLLER,4000,3
C02,C01,r_y,CROSS_CONTROLLER,9600,148
C02,C01,r_u,CROSS_CONTROLLER,9600,137
C02,C01,joint,CROSS_CONTROLLER,9600,169
C02,C02,r_y,LEAVE_ONE_CYCLE_OUT_WITHIN_RUN,17600,174
C02,C02,r_u,LEAVE_ONE_CYCLE_OUT_WITHIN_RUN,17600,175
