category,calibration_controller,evaluation_controller,calibration_run,evaluation_run,direction,calibration_cycles,evaluation_cycles,channel,evaluation_samples,exceedance_count
WITHIN_RUN,C01,C01,9,9,1,1,1,r_y,800,14
WITHIN_RUN,C01,C01,9,9,1,1,1,r_u,800,19
WITHIN_RUN,C01,C01,9,9,1,1,1,joint,800,24
WITHIN_RUN,C01,C01,9,9,2,1,1,r_y,800,4
WITHIN_RUN,C01,C01,9,9,2,1,1,r_u,800,3
WITHIN_RUN,C01,C01,9,9,2,1,1,joint,800,0
WITHIN_RUN,C01,C01,10,10,1,5,5,r_y,4000,43
WITHIN_RUN,C01,C01,10,10,1,5,5,r_u,4000,52
WITHIN_RUN,C01,C01,10,10,1,5,5,joint,4000,44
WITHIN_RUN,C01,C01,10,10,2,5,5,r_y,4000,36
WITHIN_RUN,C01,C01,10,10,2,5,5,r_u,4000,31
WITHIN_RUN,C01,C01,10,10,2,5,5,joint,4000,35
WITHIN_RUN,C02,C02,11,11,1,11,11,r_y,8800,68
WITHIN_RUN,C02,C02,11,11,1,11,11,r_u,8800,93
WITHIN_RUN,C02,C02,11,11,1,11,11,joint,8800,71
WITHIN_RUN,C02,C02,11,11,2,11,11,r_y,8800,102
WITHIN_RUN,C02,C02,11,11,2,11,11,r_u,8800,79
WITHIN_RUN,C02,C02,11,11,2,11,11,joint,8800,108
WITHIN_RUN,C03,C03,12,12,1,7,7,r_y,5600,39
WITHIN_RUN,C03,C03,12,12,1,7,7,r_u,5600,34
WITHIN_RUN,C03,C03,12,12,1,7,7,joint,5600,36
WITHIN_RUN,C03,C03,12,12,2,7,7,r_y,5600,147
WITHIN_RUN,C03,C03,12,12,2,7,7,r_u,5600,98
WITHIN_RUN,C03,C03,12,12,2,7,7,joint,5600,98
WITHIN_RUN,C04,C04,13,13,1,3,3,r_y,2400,28
WITHIN_RUN,C04,C04,13,13,1,3,3,r_u,2400,32
WITHIN_RUN,C04,C04,13,13,1,3,3,joint,2400,25
WITHIN_RUN,C04,C04,13,13,2,3,3,r_y,2400,23
WITHIN_RUN,C04,C04,13,13,2,3,3,r_u,2400,20
WITHIN_RUN,C04,C04,13,13,2,3,3,joint,2400,22
WITHIN_RUN,C04,C04,18,18,1,3,3,r_y,2400,36
WITHIN_RUN,C04,C04,18,18,1,3,3,r_u,2400,26
WITHIN_RUN,C04,C04,18,18,1,3,3,joint,2400,49
WITHIN_RUN,C04,C04,18,18,2,3,3,r_y,2400,19
WITHIN_RUN,C04,C04,18,18,2,3,3,r_u,2400,22
WITHIN_RUN,C04,C04,18,18,2,3,3,joint,2400,19
WITHIN_RUN,C05,C05,14,14,1,2,3,r_y,2400,29
WITHIN_RUN,C05,C05,14,14,1,2,3,r_u,2400,36
WITHIN_RUN,C05,C05,14,14,1,2,3,joint,2400,28
WITHIN_RUN,C05,C05,14,14,2,3,2,r_y,1600,9
WITHIN_RUN,C05,C05,14,14,2,3,2,r_u,1600,10
WITHIN_RUN,C05,C05,14,14,2,3,2,joint,1600,9
WITHIN_RUN,C06,C06,15,15,1,2,3,r_y,2400,32
WITHIN_RUN,C06,C06,15,15,1,2,3,r_u,2400,37
WITHIN_RUN,C06,C06,15,15,1,2,3,joint,2400,33
WITHIN_RUN,C06,C06,15,15,2,3,2,r_y,1600,12
WITHIN_RUN,C06,C06,15,15,2,3,2,r_u,1600,8
WITHIN_RUN,C06,C06,15,15,2,3,2,joint,1600,10
WITHIN_RUN,C07,C07,16,16,1,3,3,r_y,2400,36
WITHIN_RUN,C07,C07,16,16,1,3,3,r_u,2400,34
WITHIN_RUN,C07,C07,16,16,1,3,3,joint,2400,35
WITHIN_RUN,C07,C07,16,16,2,3,3,r_y,2400,17
WITHIN_RUN,C07,C07,16,16,2,3,3,r_u,2400,13
WITHIN_RUN,C07,C07,16,16,2,3,3,joint,2400,18
WITHIN_RUN,C08,C08,17,17,1,2,2,r_y,1600,23
WITHIN_RUN,C08,C08,17,17,1,2,2,r_u,1600,22
WITHIN_RUN,C08,C08,17,17,1,2,2,joint,1600,24
WITHIN_RUN,C08,C08,17,17,2,2,2,r_y,1600,9
WITHIN_RUN,C08,C08,17,17,2,2,2,r_u,1600,7
WITHIN_RUN,C08,C08,17,17,2,2,2,joint,1600,8
WITHIN_RUN,C09,C09,19,19,1,2,3,r_y,2400,36
WITHIN_RUN,C09,C09,19,19,1,2,3,r_u,2400,36
WITHIN_RUN,C09,C09,19,19,1,2,3,joint,2400,42
WITHIN_RUN,C09,C09,19,19,2,3,2,r_y,1600,12
WITHIN_RUN,C09,C09,19,19,2,3,2,r_u,1600,7
WITHIN_RUN,C09,C09,19,19,2,3,2,joint,1600,8
SAME_CONTROLLER_CROSS_RUN,C01,C01,9,10,RUN_TO_RUN,2,10,r_y,8000,103
SAME_CONTROLLER_CROSS_RUN,C01,C01,9,10,RUN_TO_RUN,2,10,r_u,8000,111
SAME_CONTROLLER_CROSS_RUN,C01,C01,9,10,RUN_TO_RUN,2,10,joint,8000,110
CROSS_CONTROLLER,C01,C02,9,11,RUN_TO_RUN,2,22,r_y,17600,113
CROSS_CONTROLLER,C01,C02,9,11,RUN_TO_RUN,2,22,r_u,17600,168
CROSS_CONTROLLER,C01,C02,9,11,RUN_TO_RUN,2,22,joint,17600,117
CROSS_CONTROLLER,C01,C03,9,12,RUN_TO_RUN,2,14,r_y,11200,26
CROSS_CONTROLLER,C01,C03,9,12,RUN_TO_RUN,2,14,r_u,11200,18
CROSS_CONTROLLER,C01,C03,9,12,RUN_TO_RUN,2,14,joint,11200,126
CROSS_CONTROLLER,C01,C04,9,13,RUN_TO_RUN,2,6,r_y,4800,4
CROSS_CONTROLLER,C01,C04,9,13,RUN_TO_RUN,2,6,r_u,4800,0
CROSS_CONTROLLER,C01,C04,9,13,RUN_TO_RUN,2,6,joint,4800,13
CROSS_CONTROLLER,C01,C04,9,18,RUN_TO_RUN,2,6,r_y,4800,11
CROSS_CONTROLLER,C01,C04,9,18,RUN_TO_RUN,2,6,r_u,4800,0
CROSS_CONTROLLER,C01,C04,9,18,RUN_TO_RUN,2,6,joint,4800,19
CROSS_CONTROLLER,C01,C05,9,14,RUN_TO_RUN,2,5,r_y,4000,3
CROSS_CONTROLLER,C01,C05,9,14,RUN_TO_RUN,2,5,r_u,4000,0
CROSS_CONTROLLER,C01,C05,9,14,RUN_TO_RUN,2,5,joint,4000,12
CROSS_CONTROLLER,C01,C06,9,15,RUN_TO_RUN,2,5,r_y,4000,3
CROSS_CONTROLLER,C01,C06,9,15,RUN_TO_RUN,2,5,r_u,4000,0
CROSS_CONTROLLER,C01,C06,9,15,RUN_TO_RUN,2,5,joint,4000,3
CROSS_CONTROLLER,C01,C07,9,16,RUN_TO_RUN,2,6,r_y,4800,1
CROSS_CONTROLLER,C01,C07,9,16,RUN_TO_RUN,2,6,r_u,4800,0
CROSS_CONTROLLER,C01,C07,9,16,RUN_TO_RUN,2,6,joint,4800,21
CROSS_CONTROLLER,C01,C08,9,17,RUN_TO_RUN,2,4,r_y,3200,14
CROSS_CONTROLLER,C01,C08,9,17,RUN_TO_RUN,2,4,r_u,3200,5
CROSS_CONTROLLER,C01,C08,9,17,RUN_TO_RUN,2,4,joint,3200,38
CROSS_CONTROLLER,C01,C09,9,19,RUN_TO_RUN,2,5,r_y,4000,0
CROSS_CONTROLLER,C01,C09,9,19,RUN_TO_RUN,2,5,r_u,4000,0
CROSS_CONTROLLER,C01,C09,9,19,RUN_TO_RUN,2,5,joint,4000,15
SAME_CONTROLLER_CROSS_RUN,C01,C01,10,9,RUN_TO_RUN,10,2,r_y,1600,12
SAME_CONTROLLER_CROSS_RUN,C01,C01,10,9,RUN_TO_RUN,10,2,r_u,1600,11
SAME_CONTROLLER_CROSS_RUN,C01,C01,10,9,RUN_TO_RUN,10,2,joint,1600,11
CROSS_CONTROLLER,C01,C02,10,11,RUN_TO_RUN,10,22,r_y,17600,88
CROSS_CONTROLLER,C01,C02,10,11,RUN_TO_RUN,10,22,r_u,17600,115
CROSS_CONTROLLER,C01,C02,10,11,RUN_TO_RUN,10,22,joint,17600,100
CROSS_CONTROLLER,C01,C03,10,12,RUN_TO_RUN,10,14,r_y,11200,24
