degradation_mode,severity_fraction,strategy,evaluation_controller,channel,evaluation_cycles,evaluation_samples,quantity,exceedance_count
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C01,r_y,12,9600,experimental healthy sample FAR,115
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C01,r_u,12,9600,experimental healthy sample FAR,122
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C01,joint,12,9600,experimental healthy sample FAR,121
A_reduction,0.0,DURATION_POOLED_GLOBAL,C01,r_y,12,9600,experimental healthy sample FAR,173
A_reduction,0.0,DURATION_POOLED_GLOBAL,C01,r_u,12,9600,experimental healthy sample FAR,225
A_reduction,0.0,DURATION_POOLED_GLOBAL,C01,joint,12,9600,experimental healthy sample FAR,168
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C01,r_y,12,9600,experimental healthy sample FAR,217
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C01,r_u,12,9600,experimental healthy sample FAR,334
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C01,joint,12,9600,experimental healthy sample FAR,190
A_reduction,0.0,DURATION_POOLED_LOCO,C01,r_y,12,9600,experimental healthy sample FAR,178
A_reduction,0.0,DURATION_POOLED_LOCO,C01,r_u,12,9600,experimental healthy sample FAR,261
A_reduction,0.0,DURATION_POOLED_LOCO,C01,joint,12,9600,experimental healthy sample FAR,179
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C02,r_y,22,17600,experimental healthy sample FAR,174
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C02,r_u,22,17600,experimental healthy sample FAR,175
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C02,joint,22,17600,experimental healthy sample FAR,175
A_reduction,0.0,DURATION_POOLED_GLOBAL,C02,r_y,22,17600,experimental healthy sample FAR,207
A_reduction,0.0,DURATION_POOLED_GLOBAL,C02,r_u,22,17600,experimental healthy sample FAR,302
A_reduction,0.0,DURATION_POOLED_GLOBAL,C02,joint,22,17600,experimental healthy sample FAR,178
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C02,r_y,22,17600,experimental healthy sample FAR,278
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C02,r_u,22,17600,experimental healthy sample FAR,439
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C02,joint,22,17600,experimental healthy sample FAR,237
A_reduction,0.0,DURATION_POOLED_LOCO,C02,r_y,22,17600,experimental healthy sample FAR,209
A_reduction,0.0,DURATION_POOLED_LOCO,C02,r_u,22,17600,experimental healthy sample FAR,382
A_reduction,0.0,DURATION_POOLED_LOCO,C02,joint,22,17600,experimental healthy sample FAR,189
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C03,r_y,14,11200,experimental healthy sample FAR,173
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C03,r_u,14,11200,experimental healthy sample FAR,113
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C03,joint,14,11200,experimental healthy sample FAR,113
A_reduction,0.0,DURATION_POOLED_GLOBAL,C03,r_y,14,11200,experimental healthy sample FAR,160
A_reduction,0.0,DURATION_POOLED_GLOBAL,C03,r_u,14,11200,experimental healthy sample FAR,124
A_reduction,0.0,DURATION_POOLED_GLOBAL,C03,joint,14,11200,experimental healthy sample FAR,140
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C03,r_y,14,11200,experimental healthy sample FAR,218
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C03,r_u,14,11200,experimental healthy sample FAR,178
A_reduction,0.0,CONTROLLER_BALANCED_GLOBAL,C03,joint,14,11200,experimental healthy sample FAR,174
A_reduction,0.0,DURATION_POOLED_LOCO,C03,r_y,14,11200,experimental healthy sample FAR,192
A_reduction,0.0,DURATION_POOLED_LOCO,C03,r_u,14,11200,experimental healthy sample FAR,128
A_reduction,0.0,DURATION_POOLED_LOCO,C03,joint,14,11200,experimental healthy sample FAR,154
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C04,r_y,12,9600,experimental healthy sample FAR,94
A_reduction,0.0,SINGLE_CONTROLLER_HELD_OUT,C04,r_u,12,9600,experimental healthy sample FAR,97
