calibration_controller_count,pooling_method,channel,subset_target_count,median_unseen_controller_far,q95_unseen_controller_far,worst_unseen_controller_far
1,DURATION_WEIGHTED_ALL_CYCLES,r_y,72,0.009791666666666667,0.028353084415584418,0.03928571428571429
1,DURATION_WEIGHTED_ALL_CYCLES,r_u,72,0.009521103896103899,0.22470738636363666,0.45660714285714293
1,DURATION_WEIGHTED_ALL_CYCLES,joint,72,0.01075,0.12962500000000005,0.33392857142857146
1,EQUAL_CONTROLLER_FOUR_CYCLES,r_y,72,0.010208333333333333,0.030857142857142868,0.03928571428571429
1,EQUAL_CONTROLLER_FOUR_CYCLES,r_u,72,0.011417410714285717,0.2347367424242427,0.4585714285714286
1,EQUAL_CONTROLLER_FOUR_CYCLES,joint,72,0.010624999999999999,0.13369010416666668,0.3652678571428571
2,DURATION_WEIGHTED_ALL_CYCLES,r_y,252,0.00778125,0.02676041666666666,0.03660714285714285
2,DURATION_WEIGHTED_ALL_CYCLES,r_u,252,0.002946428571428572,0.14384895833333333,0.4551785714285714
2,DURATION_WEIGHTED_ALL_CYCLES,joint,252,0.008535714285714287,0.036625,0.13197916666666668
2,EQUAL_CONTROLLER_FOUR_CYCLES,r_y,252,0.00925,0.027968749999999997,0.037142857142857144
2,EQUAL_CONTROLLER_FOUR_CYCLES,r_u,252,0.005000000000000001,0.14778645833333331,0.4550446428571428
2,EQUAL_CONTROLLER_FOUR_CYCLES,joint,252,0.009541666666666667,0.04797098214285706,0.13953125
3,DURATION_WEIGHTED_ALL_CYCLES,r_y,504,0.006696428571428574,0.025265624999999993,0.030535714285714294
3,DURATION_WEIGHTED_ALL_CYCLES,r_u,504,0.002232142857142857,0.1316505681818182,0.3221428571428572
3,DURATION_WEIGHTED_ALL_CYCLES,joint,504,0.007395833333333334,0.03208705357142856,0.04364583333333333
3,EQUAL_CONTROLLER_FOUR_CYCLES,r_y,504,0.008291666666666666,0.025937500000000002,0.03482142857142858
3,EQUAL_CONTROLLER_FOUR_CYCLES,r_u,504,0.004125,0.13128977272727277,0.321875
3,EQUAL_CONTROLLER_FOUR_CYCLES,joint,504,0.008125,0.03247656249999999,0.055397727272727265
4,DURATION_WEIGHTED_ALL_CYCLES,r_y,630,0.005833333333333334,0.022359374999999987,0.028214285714285713
4,DURATION_WEIGHTED_ALL_CYCLES,r_u,630,0.0020535714285714285,0.1248077651515151,0.17625
4,DURATION_WEIGHTED_ALL_CYCLES,joint,630,0.007239583333333334,0.025218749999999984,0.04072916666666667
4,EQUAL_CONTROLLER_FOUR_CYCLES,r_y,630,0.007932291666666667,0.024270833333333335,0.028660714285714293
4,EQUAL_CONTROLLER_FOUR_CYCLES,r_u,630,0.004526785714285714,0.12778693181818182,0.19698863636363637
4,EQUAL_CONTROLLER_FOUR_CYCLES,joint,630,0.0075000000000000015,0.026799479166666664,0.04088541666666667
5,DURATION_WEIGHTED_ALL_CYCLES,r_y,504,0.00575,0.02145089285714284,0.028214285714285713
5,DURATION_WEIGHTED_ALL_CYCLES,r_u,504,0.0017500000000000003,0.04658928571428564,0.1513636363636364
5,DURATION_WEIGHTED_ALL_CYCLES,joint,504,0.006708333333333334,0.02020833333333333,0.03770833333333334
5,EQUAL_CONTROLLER_FOUR_CYCLES,r_y,504,0.0075625000000000015,0.023302083333333327,0.028214285714285713
5,EQUAL_CONTROLLER_FOUR_CYCLES,r_u,504,0.0035,0.11948011363636363,0.1513636363636364
5,EQUAL_CONTROLLER_FOUR_CYCLES,joint,504,0.007291666666666668,0.02365848214285714,0.037343749999999995
6,DURATION_WEIGHTED_ALL_CYCLES,r_y,252,0.0052812499999999995,0.02155729166666665,0.025520833333333336
6,DURATION_WEIGHTED_ALL_CYCLES,r_u,252,0.00125,0.035886160714285686,0.14072916666666666
6,DURATION_WEIGHTED_ALL_CYCLES,joint,252,0.006302083333333335,0.019479166666666662,0.03385416666666667
6,EQUAL_CONTROLLER_FOUR_CYCLES,r_y,252,0.007250000000000001,0.023125000000000003,0.025520833333333336
6,EQUAL_CONTROLLER_FOUR_CYCLES,r_u,252,0.003125,0.08052083333333335,0.14072916666666666
6,EQUAL_CONTROLLER_FOUR_CYCLES,joint,252,0.007218750000000001,0.023265624999999995,0.030677083333333334
7,DURATION_WEIGHTED_ALL_CYCLES,r_y,72,0.005208333333333333,0.01845982142857143,0.022604166666666665
7,DURATION_WEIGHTED_ALL_CYCLES,r_u,72,0.00075,0.027177083333333345,0.11846590909090908
7,DURATION_WEIGHTED_ALL_CYCLES,joint,72,0.006,0.018880208333333332,0.021249999999999998
7,EQUAL_CONTROLLER_FOUR_CYCLES,r_y,72,0.006750000000000001,0.023020833333333334,0.024374999999999997
7,EQUAL_CONTROLLER_FOUR_CYCLES,r_u,72,0.003375,0.038445312499999995,0.12642045454545456
7,EQUAL_CONTROLLER_FOUR_CYCLES,joint,72,0.007031250000000001,0.02197544642857143,0.02614583333333333
8,DURATION_WEIGHTED_ALL_CYCLES,r_y,9,0.005208333333333333,0.017982142857142856,0.018541666666666665
8,DURATION_WEIGHTED_ALL_CYCLES,r_u,9,0.00125,0.02499431818181818,0.0271875
8,DURATION_WEIGHTED_ALL_CYCLES,joint,9,0.005729166666666667,0.017562499999999998,0.01864583333333333
8,EQUAL_CONTROLLER_FOUR_CYCLES,r_y,9,0.006750000000000001,0.02124107142857143,0.023020833333333334
8,EQUAL_CONTROLLER_FOUR_CYCLES,r_u,9,0.003,0.03325568181818181,0.03760416666666666
8,EQUAL_CONTROLLER_FOUR_CYCLES,joint,9,0.006666666666666667,0.019906249999999997,0.021406249999999998
